,sNovi,sAktivni,sUmrli,cNovi,cAktivni,cUmrli,bNovi,bAktivni,bUmrli
2021-09-10,6089,64110,25,1042,5691,8,832,18423,19
2021-09-11,5461,67732,27,1162,6143,14,646,19039,30
2021-09-12,5003,70518,28,807,6123,13,476,19488,27
2021-09-13,6249,74441,27,167,5532,7,403,19878,13
2021-09-14,7723,79711,26,974,5818,9,766,20610,34
2021-09-15,7628,84899,32,1835,7037,7,1030,21608,32
2021-09-16,7602,90188,31,1369,7643,9,905,22483,30
2021-09-17,7572,96035,34,1394,7991,9,995,23436,42
2021-09-18,6745,100444,35,1455,8446,12,977,24397,16
2021-09-19,5255,102716,37,875,8286,7,421,24794,24
2021-09-20,6424,105793,38,264,7518,14,324,25074,44
2021-09-21,7232,109501,38,1037,7464,12,526,25570,30
2021-09-22,7201,113078,39,1812,8389,13,1255,26789,36
2021-09-23,6480,116059,41,1373,8615,15,852,27615,26
2021-09-24,6462,119722,40,1291,8517,12,589,28159,45
2021-09-25,6192,121809,42,1293,8577,14,804,28944,19
2021-09-26,5389,122128,43,837,8184,15,451,29371,24
2021-09-27,6736,123228,46,217,7145,11,181,29511,41
2021-09-28,8467,125865,45,1061,7100,8,884,30361,34
2021-09-29,8171,127947,45,1911,8101,14,654,30983,32
2021-09-30,7549,130033,47,1710,8875,12,1000,31951,32
2021-10-01,7271,132302,46,1517,8990,10,761,32683,29
2021-10-02,6412,132460,51,1448,9221,14,882,33549,16
2021-10-03,5334,130073,49,944,9069,14,218,33750,17
2021-10-04,5983,128427,50,219,8073,7,381,34073,58
2021-10-05,7190,128014,51,1074,7913,19,733,34759,47
2021-10-06,7150,127593,50,1925,8813,18,708,35438,29
2021-10-07,6978,127825,51,1748,9299,8,942,36349,31
2021-10-08,6401,128973,49,1691,9515,22,694,37013,30
2021-10-09,5657,128203,52,1594,9774,11,718,37703,28
2021-10-10,4803,125772,54,908,9423,9,140,37820,23
2021-10-11,5700,124274,51,170,8285,6,275,38044,51
2021-10-12,6930,124722,53,1007,8068,24,719,38719,44
2021-10-13,6699,124961,51,2022,9092,27,523,39205,37
2021-10-14,6786,125552,54,1851,9620,18,751,39924,32
2021-10-15,6424,126591,50,1758,9811,15,694,40586,32
2021-10-16,6051,125900,56,1947,10331,15,675,41230,31
2021-10-17,5077,122513,53,1301,10284,19,223,41437,16
2021-10-18,6461,120804,52,319,9299,11,270,41663,44
2021-10-19,7664,120914,57,1741,9894,21,709,42345,27
2021-10-20,7745,121387,58,3162,11995,23,764,43084,25
2021-10-21,7327,122301,59,3053,13717,17,627,43681,30
2021-10-22,7696,124665,57,3258,15300,17,776,44418,39
2021-10-23,6748,125427,60,3585,17319,25,732,45126,24
2021-10-24,5733,123969,61,2293,17841,28,273,45380,19
2021-10-25,5908,122726,62,680,16645,22,386,45734,32
2021-10-26,7840,123587,63,3360,17944,30,816,46524,26
2021-10-27,6948,124133,64,4571,20645,26,1099,47596,27
2021-10-28,6697,125174,63,4154,22382,26,819,48388,27
2021-10-29,6217,126586,65,4392,23751,26,675,49045,18
2021-10-30,6001,126888,64,4547,25153,30,289,49293,41
2021-10-31,4929,125752,65,3319,25138,22,999,50262,30
2021-11-01,5896,131585,63,1126,22884,31,302,50523,41
2021-11-02,7111,138636,60,785,20562,40,706,51182,47
2021-11-03,6726,118663,61,4573,22700,41,1253,52404,31
2021-11-04,6126,119709,64,6310,25628,32,1094,53466,32
2021-11-05,5725,118969,68,6932,28541,36,0,53466,0
